sample_id,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,loan_status
TR56654936,30,29900,RENT,0.0,PERSONAL,D,4700,14.58,0.16,Y,11,1
TR66643437,28,71100,MORTGAGE,8.0,PERSONAL,A,14200,8.13,0.2,N,9,0
TR57319380,25,59800,MORTGAGE,4.0,VENTURE,A,3700,6.89,0.06,N,5,0
TR68538313,40,54400,MORTGAGE,3.0,EDUCATION,A,2000,6.72,0.04,N,14,0
TR42550725,28,72600,RENT,6.0,HOMEIMPROVEMENT,B,5300,11.66,0.07,N,10,0
TR46573850,29,73800,MORTGAGE,5.0,DEBTCONSOLIDATION,B,2900,11.46,0.04,N,6,0
TR94048359,22,39500,RENT,0.0,VENTURE,C,9900,11.28,0.25,N,2,0
TR72232470,32,186200,MORTGAGE,1.0,VENTURE,B,12700,11.1,0.07,N,9,0
TR79114854,20,88800,MORTGAGE,5.0,EDUCATION,A,11700,9.66,0.13,N,3,0
TR99828004,26,53100,RENT,1.0,VENTURE,A,7500,7.73,0.14,N,5,0
TR66552057,23,46200,RENT,4.0,MEDICAL,B,9100,12.75,0.2,N,2,0
TR96430972,25,100200,MORTGAGE,4.0,HOMEIMPROVEMENT,B,10300,11.57,0.1,N,2,0
TR30333514,25,41400,RENT,2.0,HOMEIMPROVEMENT,E,13400,16.35,0.32,N,3,1
TR43781185,39,119600,MORTGAGE,1.0,EDUCATION,A,1500,6.82,0.01,N,14,0
TR21186044,22,64400,MORTGAGE,4.0,EDUCATION,A,14200,6.15,0.22,N,1,0
TR11225659,23,57200,RENT,5.0,HOMEIMPROVEMENT,B,9600,10.57,0.17,N,1,0
TR85414690,33,136800,MORTGAGE,11.0,HOMEIMPROVEMENT,B,14200,9.84,0.1,N,9,0
TR81142267,27,130100,MORTGAGE,9.0,MEDICAL,B,10100,11.23,0.08,N,4,0
TR68781880,44,57400,RENT,0.0,DEBTCONSOLIDATION,D,16100,14.13,0.28,N,11,1
TR63151006,25,48700,RENT,1.0,EDUCATION,B,4900,11.65,0.1,N,3,0
TR28454913,36,82900,MORTGAGE,2.0,DEBTCONSOLIDATION,C,28200,16.08,0.34,Y,9,1
TR34754174,30,48700,RENT,3.0,VENTURE,D,13700,15.25,0.28,N,11,1
TR64626440,31,21300,RENT,3.0,EDUCATION,B,3000,11.64,0.14,N,10,0
TR11922098,26,31600,RENT,4.0,DEBTCONSOLIDATION,B,10100,10.66,0.32,N,5,1
TR84506695,24,91900,MORTGAGE,0.0,DEBTCONSOLIDATION,A,4700,7.28,0.05,N,4,0
TR84610781,24,63100,RENT,2.0,EDUCATION,B,6700,10.56,0.11,N,5,0
TR45906480,27,79200,RENT,6.0,PERSONAL,B,7100,10.09,0.09,N,1,0
TR83076299,22,30600,RENT,2.0,VENTURE,C,10500,10.3,0.34,Y,3,1
TR91309055,20,39100,MORTGAGE,7.0,EDUCATION,B,2100,11.73,0.05,N,2,0
TR52296818,22,37500,OWN,1.0,VENTURE,A,7100,8.0,0.19,N,5,0
TR47184038,37,89800,MORTGAGE,13.0,VENTURE,A,10000,7.42,0.11,N,12,0
TR83062617,22,70200,MORTGAGE,6.0,DEBTCONSOLIDATION,A,14600,7.43,0.21,N,3,0
TR96900244,32,84500,RENT,6.0,MEDICAL,B,4900,10.83,0.06,N,8,0
TR13639746,27,78000,MORTGAGE,2.0,PERSONAL,B,24900,9.71,0.32,N,7,0
TR79970038,25,41100,RENT,1.0,MEDICAL,B,4700,12.38,0.11,N,3,0
TR79538146,28,49500,RENT,2.0,PERSONAL,C,2100,13.15,0.04,Y,9,0
TR81102669,29,53900,RENT,0.0,EDUCATION,C,8000,13.97,0.15,Y,9,0
TR60010485,22,36000,RENT,0.0,DEBTCONSOLIDATION,A,3900,7.69,0.11,N,2,0
TR20718742,26,70200,RENT,10.0,HOMEIMPROVEMENT,A,3000,5.75,0.04,N,5,0
TR50216325,41,29600,MORTGAGE,6.0,VENTURE,A,8500,6.8,0.29,N,15,0
TR24097505,26,52000,MORTGAGE,11.0,PERSONAL,B,5300,10.58,0.1,N,7,0
TR33974633,29,60500,MORTGAGE,2.0,MEDICAL,C,12400,13.77,0.2,Y,7,0
TR53610736,22,46000,RENT,4.0,EDUCATION,A,10300,8.19,0.22,N,3,0
TR80223773,35,79300,MORTGAGE,2.0,MEDICAL,A,14200,9.83,0.18,N,9,0
TR80420186,36,57900,RENT,0.0,PERSONAL,C,20100,12.92,0.35,Y,13,1
TR47644023,34,102500,RENT,9.0,HOMEIMPROVEMENT,D,14500,14.37,0.14,N,8,0
TR71703078,22,50900,MORTGAGE,4.0,PERSONAL,B,13400,10.34,0.26,N,3,0
TR34879691,20,58300,MORTGAGE,5.0,MEDICAL,A,4000,7.43,0.07,N,3,0
TR80805498,24,37300,RENT,4.0,VENTURE,B,2300,9.64,0.06,N,2,0
TR11952968,21,36600,RENT,1.0,PERSONAL,D,4000,15.14,0.11,N,2,1
TR48221023,26,131000,MORTGAGE,5.0,EDUCATION,A,13200,7.61,0.1,N,9,0
TR54332419,23,30700,RENT,3.0,MEDICAL,A,7100,7.17,0.23,N,2,0
TR85014197,20,82100,MORTGAGE,3.0,MEDICAL,A,1900,5.96,0.02,N,2,0
TR32802559,37,110700,RENT,0.0,MEDICAL,B,6200,9.42,0.06,N,14,0
TR52004931,29,28800,RENT,1.0,VENTURE,A,6100,7.35,0.21,N,7,0
TR53269833,25,64800,RENT,1.0,DEBTCONSOLIDATION,C,2400,11.9,0.04,N,3,0
TR11321219,30,55500,RENT,10.0,EDUCATION,B,4700,10.79,0.08,N,8,0
TR54389544,34,91400,MORTGAGE,4.0,DEBTCONSOLIDATION,A,19200,6.57,0.21,N,4,0
TR73553486,41,36300,RENT,0.0,DEBTCONSOLIDATION,B,4100,11.65,0.11,N,12,0
TR66391767,20,44400,RENT,2.0,DEBTCONSOLIDATION,A,6300,7.36,0.14,N,3,0
TR42524712,32,20600,RENT,1.0,MEDICAL,B,4700,10.82,0.23,N,7,0
TR50758223,36,70500,MORTGAGE,2.0,PERSONAL,C,3700,13.44,0.05,Y,12,0
TR21138015,37,25700,RENT,6.0,DEBTCONSOLIDATION,C,8200,13.9,0.32,N,13,0
TR66131735,26,78100,MORTGAGE,8.0,DEBTCONSOLIDATION,C,10300,13.43,0.13,Y,2,0
TR48292452,24,74100,RENT,6.0,PERSONAL,C,4200,13.71,0.06,N,2,0
TR22496344,24,99200,MORTGAGE,10.0,HOMEIMPROVEMENT,C,15300,12.08,0.15,N,2,0
